MsgID.STATE,1521883067.1269608,False,False
MsgID.GLOBAL_POSITION,1521883082.8803267,-122.3974424,37.7929804,4.9600000
MsgID.LOCAL_VELOCITY,1521883082.8803267,8.8700000,0.1100000,-0.0600000
MsgID.LOCAL_POSITION,1521883082.8803267,55.5563126,0.9609199,-4.9603186
MsgID.LOCAL_VELOCITY,1521883082.8803267,8.8727808,0.1169392,-0.0600955
MsgID.GLOBAL_POSITION,1521883083.1311374,-122.3974424,37.7930024,4.9630000
MsgID.LOCAL_VELOCITY,1521883083.1311374,8.8600000,0.0700000,0.0000000
MsgID.LOCAL_POSITION,1521883083.1311374,57.9946136,0.9683694,-4.9639611
MsgID.LOCAL_VELOCITY,1521883083.1311374,8.8663692,0.0765483,-0.0072717
MsgID.STATE,1521883083.3605173,True,True
MsgID.GLOBAL_HOME,1521883083.3615165,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883083.3795156,-122.3974433,37.7930227,4.9700000
MsgID.LOCAL_VELOCITY,1521883083.3795156,8.8600000,0.0500000,0.0600000
MsgID.LOCAL_POSITION,1521883083.3795156,60.2545624,0.8867656,-4.9703498
MsgID.LOCAL_VELOCITY,1521883083.3795156,8.8633890,0.0572332,0.0665170
MsgID.LOCAL_POSITION,1521883083.6317332,62.3334274,0.9066986,-4.9643941
MsgID.LOCAL_VELOCITY,1521883083.6317332,8.8818102,0.1034231,0.0390545
MsgID.GLOBAL_POSITION,1521883083.6317332,-122.3974431,37.7930414,4.9640000
MsgID.LOCAL_VELOCITY,1521883083.6317332,8.8800000,0.1000000,0.0300000
